==============================================================================
ILITek C-TP Utility V2.8.0.0    98811115 : Driver Sensor Test
Confidentiality Notice:
Any information of this tool is confidential and privileged.
@ ILI TECHNOLOGY CORP. All Rights Reserved.
==============================================================================
OPLUS_20221
Firmware Version ,0x0d
Panel information ,XCH=18, YCH=32
Test Platform ,Mobile
This is 90HZ_BOE module
Test Item:
      ---noise peak to peak(with panel) (lcm off),NG
      ---raw data(no bk) (lcm off),OK
      ---raw data_td (lcm off),OK
      ---peak to peak_td (lcm off),NG
Final Result ,FAIL


==============================================================================


[noise peak to peak(with panel) (lcm off)],NG
CDC command = ,0xf1,0x1d,0x00,0x00,0x86,0xf0,0x1e,0xff,0xff,0xf0,0x08,0x00,0xff,0x00,0xff,0x6a
Frame count = 30
Max = 120
Min = 0

       Max Hold ,     X_1  ,     X_2  ,     X_3  ,     X_4  ,     X_5  ,     X_6  ,     X_7  ,     X_8  ,     X_9  ,     X_10  ,     X_11  ,     X_12  ,     X_13  ,     X_14  ,     X_15  ,     X_16  ,     X_17  ,     X_18  ,
     Y_1  ,       5,        2,        5,        4,        4,        6,        7,        5,        6,        7,        6,        7,        5,        5,        4,        6,        5,        5, 
     Y_2  ,       5,        5,        5,        8,        5,        6,        5,        5,        5,        7,        6,        5,        5,        4,        3,        5,        4,        6, 
     Y_3  ,       5,        5,        5,        6,        4,        5,        4,        6,        6,        6,        5,        5,        6,        4,        4,        6,        5,        4, 
     Y_4  ,       5,        4,        4,        6,        5,        4,        5,        6,        4,        8,        5,        6,        6,        5,        5,        5,        6,        5, 
     Y_5  ,       5,        5,        4,        4,        4,        5,        5,        6,        5,        7,        8,        7,        5,        4,        4,        5,        4,        5, 
     Y_6  ,       6,        6,        6,        5,        6,        6,        4,        7,        8,        7,        7,        8,        6,        7,        6,        6,        6,        7, 
     Y_7  ,       4,        3,        5,        5,        6,        5,        5,        4,        5,        9,        7,        7,        6,        7,        6,        5,        6,        6, 
     Y_8  ,       4,        6,        5,        3,        6,        5,        4,        5,        4,       10,       10,        6,        8,        4,        7,        6,        6,        7, 
     Y_9  ,       5,        5,        6,        6,        6,        6,        4,        6,        7,        6,        6,        5,        5,        5,        5,        5,        4,        4, 
     Y_10  ,       8,        7,        8,        7,        6,        6,        8,        7,        6,        7,        6,        6,        5,        5,        5,        5,        5,        5, 
     Y_11  ,       4,        5,        5,        5,        5,        6,        5,        7,        6,       10,        8,        8,        7,        8,        5,        5,        7,        4, 
     Y_12  ,       4,        4,        4,        5,        3,        4,        5,        5,        4,        7,        6,        6,        7,        7,        5,        5,        6,        4, 
     Y_13  ,       4,        5,        4,        4,        6,        6,        6,        7,        6,        8,        6,        4,        4,        5,        4,        4,        4,        6, 
     Y_14  ,      10,        7,        8,        9,        7,        5,        7,        8,        7,        6,        6,        6,        6,        5,        5,        5,        4,        5, 
     Y_15  ,       5,        4,        6,        5,        4,        7,        4,        6,        4,        7,        6,        5,        5,        3,        6,        5,        5,        5, 
     Y_16  ,       5,        6,        6,        5,        5,        8,        8,        6,        6,        6,        8,        6,        4,        5,        5,        7,        6,        7, 
     Y_17  ,       5,        6,        6,        6,        7,        6,        6,        7,        7,        7,        5,        6,        4,        5,        5,        5,        6,        6, 
     Y_18  ,       4,        5,        5,        6,        6,        7,        6,       12,       13,       14,        9,        9,        5,        5,        4,        3,        4,        6, 
     Y_19  ,       7,        6,        7,        7,        7,        9,       19,       32,       53,       57,       44,       22,       13,        6,        6,        6,        6,        7, 
     Y_20  ,       6,        7,        8,        8,        8,       12,       27,       68, *    194,*    274,*    208,      79,       29,       16,       10,        8,        5,        7, 
     Y_21  ,       7,        7,        6,        7,        9,       13,       28,       83, *    252,*    351,*    302,*    129,      50,       24,       14,       11,        9,        7, 
     Y_22  ,       5,        7,        8,        8,        8,       11,       21,       44,      101, *    162,*    148,      94,       53,       27,       16,       10,        9,        7, 
     Y_23  ,       4,        5,        6,        7,        6,        8,       11,       16,       29,       47,       52,       45,       30,       21,       13,       11,        7,        7, 
     Y_24  ,       7,        6,        7,        6,        7,        8,       10,       11,       16,       20,       22,       20,       18,       14,       13,        9,        8,        9, 
     Y_25  ,       5,        7,        5,        9,        7,        7,        8,        7,       11,       16,       14,       12,       12,       10,        6,        9,        6,        8, 
     Y_26  ,       6,        5,        5,        7,        7,        7,        8,        6,        7,       11,       10,       10,        9,        7,        9,        8,        8,        8, 
     Y_27  ,       5,        7,        6,        7,        4,        6,        8,        7,        8,        8,       10,        9,        8,        8,        5,        7,        6,        5, 
     Y_28  ,       6,        4,        4,        4,        5,        5,        8,        6,        7,        9,        7,        8,        8,        7,        6,        8,        6,        7, 
     Y_29  ,       7,        6,        7,       10,        6,        8,        6,        9,        7,       10,        8,        6,        5,        4,        6,        7,        7,        6, 
     Y_30  ,       6,        6,        6,        7,        6,        5,        4,        8,        5,       12,       10,        9,       11,       10,       11,        8,        9,        9, 
     Y_31  ,       5,        5,        8,        7,        6,        5,        4,        7,        8,        8,       10,        8,        9,        7,        8,        8,        6,       10, 
     Y_32  ,       7,        6,        7,        8,        6,        6,        8,        8,        6,       10,       11,        7,        9,        8,        7,        7,        5,        6, 
Result : FAIL

       Min Hold ,     X_1  ,     X_2  ,     X_3  ,     X_4  ,     X_5  ,     X_6  ,     X_7  ,     X_8  ,     X_9  ,     X_10  ,     X_11  ,     X_12  ,     X_13  ,     X_14  ,     X_15  ,     X_16  ,     X_17  ,     X_18  ,
     Y_1  ,       5,        2,        5,        4,        4,        6,        7,        5,        6,        7,        6,        7,        5,        5,        4,        6,        5,        5, 
     Y_2  ,       5,        5,        5,        8,        5,        6,        5,        5,        5,        7,        6,        5,        5,        4,        3,        5,        4,        6, 
     Y_3  ,       5,        5,        5,        6,        4,        5,        4,        6,        6,        6,        5,        5,        6,        4,        4,        6,        5,        4, 
     Y_4  ,       5,        4,        4,        6,        5,        4,        5,        6,        4,        8,        5,        6,        6,        5,        5,        5,        6,        5, 
     Y_5  ,       5,        5,        4,        4,        4,        5,        5,        6,        5,        7,        8,        7,        5,        4,        4,        5,        4,        5, 
     Y_6  ,       6,        6,        6,        5,        6,        6,        4,        7,        8,        7,        7,        8,        6,        7,        6,        6,        6,        7, 
     Y_7  ,       4,        3,        5,        5,        6,        5,        5,        4,        5,        9,        7,        7,        6,        7,        6,        5,        6,        6, 
     Y_8  ,       4,        6,        5,        3,        6,        5,        4,        5,        4,       10,       10,        6,        8,        4,        7,        6,        6,        7, 
     Y_9  ,       5,        5,        6,        6,        6,        6,        4,        6,        7,        6,        6,        5,        5,        5,        5,        5,        4,        4, 
     Y_10  ,       8,        7,        8,        7,        6,        6,        8,        7,        6,        7,        6,        6,        5,        5,        5,        5,        5,        5, 
     Y_11  ,       4,        5,        5,        5,        5,        6,        5,        7,        6,       10,        8,        8,        7,        8,        5,        5,        7,        4, 
     Y_12  ,       4,        4,        4,        5,        3,        4,        5,        5,        4,        7,        6,        6,        7,        7,        5,        5,        6,        4, 
     Y_13  ,       4,        5,        4,        4,        6,        6,        6,        7,        6,        8,        6,        4,        4,        5,        4,        4,        4,        6, 
     Y_14  ,      10,        7,        8,        9,        7,        5,        7,        8,        7,        6,        6,        6,        6,        5,        5,        5,        4,        5, 
     Y_15  ,       5,        4,        6,        5,        4,        7,        4,        6,        4,        7,        6,        5,        5,        3,        6,        5,        5,        5, 
     Y_16  ,       5,        6,        6,        5,        5,        8,        8,        6,        6,        6,        8,        6,        4,        5,        5,        7,        6,        7, 
     Y_17  ,       5,        6,        6,        6,        7,        6,        6,        7,        7,        7,        5,        6,        4,        5,        5,        5,        6,        6, 
     Y_18  ,       4,        5,        5,        6,        6,        7,        6,       12,       13,       14,        9,        9,        5,        5,        4,        3,        4,        6, 
     Y_19  ,       7,        6,        7,        7,        7,        9,       19,       32,       53,       57,       44,       22,       13,        6,        6,        6,        6,        7, 
     Y_20  ,       6,        7,        8,        8,        8,       12,       27,       68, *    194,*    274,*    208,      79,       29,       16,       10,        8,        5,        7, 
     Y_21  ,       7,        7,        6,        7,        9,       13,       28,       83, *    252,*    351,*    302,*    129,      50,       24,       14,       11,        9,        7, 
     Y_22  ,       5,        7,        8,        8,        8,       11,       21,       44,      101, *    162,*    148,      94,       53,       27,       16,       10,        9,        7, 
     Y_23  ,       4,        5,        6,        7,        6,        8,       11,       16,       29,       47,       52,       45,       30,       21,       13,       11,        7,        7, 
     Y_24  ,       7,        6,        7,        6,        7,        8,       10,       11,       16,       20,       22,       20,       18,       14,       13,        9,        8,        9, 
     Y_25  ,       5,        7,        5,        9,        7,        7,        8,        7,       11,       16,       14,       12,       12,       10,        6,        9,        6,        8, 
     Y_26  ,       6,        5,        5,        7,        7,        7,        8,        6,        7,       11,       10,       10,        9,        7,        9,        8,        8,        8, 
     Y_27  ,       5,        7,        6,        7,        4,        6,        8,        7,        8,        8,       10,        9,        8,        8,        5,        7,        6,        5, 
